Test number,Path,File name,Image description,Text,Comments,Language,tessedit_char_blacklist=,tessedit_char_unblacklist=,tessedit_char_whitelist=,page_separator=,Pass/Fail
317,images,11_testType_sub_lang_Arial_20.png,all digits ,"25689
",,,None,None,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ25689,None,Fail
318,images,12_testType_sub_lang_Arial_20.png,all special characters,"~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,,None,None,"~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",None,Fail
319,images,12_testType_sub_lang_Arial_20.png,all special characters,,,,None,None,,None,Fail
320,images,12_testType_sub_lang_Arial_20.png,all special characters,"~!$%^&(+=]?
",,,None,None,"~!$%^&(+=]?
",None,Fail
321,images,12_testType_sub_lang_Arial_20.png,all special characters,,,,None,None,abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ25689,None,Fail
322,images,12_testType_sub_lang_Arial_20.png,all special characters,"~!$%^&(+=]?
",,,,,"~!$%^&(+=]?abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
",,Fail
323,images,1_testType_file_format_Arial_20.png,,A,,eng,None,None,None,A,Pass
325,images,1_testType_file_format_Arial_20.png,,Å,,swe,None,None,None,Å,Fail
326,images,1_testType_file_format_Arial_20.png,,ñ,,spa,None,None,None,ñ,Fail
327,images,1_testType_file_format_Arial_20.png,,1,,,None,None,None,1,Pass
328,images,1_testType_file_format_Arial_20.png,,$,,,None,None,None,$,Pass
329,images,1_testType_file_format_Arial_20.png,,,,,None,None,None,,Pass
330,images,229_testType_simple_tests_Arial_40.png,,"Simple Test
A",,eng,None,None,None,A,Pass
332,images,229_testType_simple_tests_Arial_40.png,,"Simple Test
Å",,swe,None,None,None,Å,Fail
333,images,229_testType_simple_tests_Arial_40.png,,"Simple Test
ñ",,spa,None,None,None,ñ,Fail
334,images,229_testType_simple_tests_Arial_40.png,,"Simple Test
1",,,None,None,None,1,Pass
335,images,229_testType_simple_tests_Arial_40.png,,"Simple Test
$",,,None,None,None,$,Pass
336,images,229_testType_simple_tests_Arial_40.png,,"Simple Test
",,,,,,,Pass
